n	ops	comparisons	collisions	load_factor	inserts	removes	finds	groups_total	groups_mean	groups_stdev	groups_min	groups_max
1	1	1	0	0.000142735	1	0	0	1	1	0	1	1
2	2	2	0	0.00028547	2	0	0	2	1	0.707107	1	1
3	3	3	0	0.000428204	3	0	0	3	1	1.29099	1	1
4	4	4	0	0.000570939	4	0	0	4	1	1.87083	1	1
5	5	5	0	0.000713674	5	0	0	5	1	2.44949	1	1
6	6	6	0	0.000856409	6	0	0	6	1	3.02765	1	1
7	7	7	0	0.000999144	7	0	0	7	1	3.60555	1	1
8	8	8	0	0.00114188	8	0	0	8	1	4.1833	1	1
9	9	9	0	0.00128461	9	0	0	9	1	4.76095	1	1
10	10	10	0	0.00142735	10	0	0	10	1	5.33854	1	1
11	11	11	0	0.00157008	11	0	0	11	1	5.91608	1	1
12	12	12	0	0.00171282	12	0	0	12	1	6.49359	1	1
13	13	13	0	0.00185555	13	0	0	13	1	7.07107	1	1
14	14	14	0	0.00199829	14	0	0	14	1	7.64853	1	1
15	15	15	0	0.00214102	15	0	0	15	1	8.22598	1	1
16	16	16	0	0.00228376	16	0	0	16	1	8.80341	1	1
17	17	17	0	0.00242649	17	0	0	17	1	9.38083	1	1
18	18	18	0	0.00256923	18	0	0	18	1	9.95825	1	1
19	19	19	0	0.00271196	19	0	0	19	1	10.5357	1	1
20	20	20	0	0.0028547	20	0	0	20	1	11.1131	1	1
21	21	21	0	0.00299743	21	0	0	21	1	11.6905	1	1
22	22	22	0	0.00314017	22	0	0	22	1	12.2678	1	1
23	23	23	0	0.0032829	23	0	0	23	1	12.8452	1	1
24	24	24	0	0.00342564	24	0	0	24	1	13.4226	1	1
25	25	25	0	0.00356837	25	0	0	25	1	14	1	1
26	26	26	0	0.0037111	26	0	0	26	1	14.5774	1	1
27	27	27	0	0.00385384	27	0	0	27	1	15.1548	1	1
28	28	28	0	0.00399657	28	0	0	28	1	15.7321	1	1
29	29	29	0	0.00413931	29	0	0	29	1	16.3095	1	1
30	30	30	0	0.00428204	30	0	0	30	1	16.8869	1	1
31	31	31	0	0.00442478	31	0	0	31	1	17.4642	1	1
32	32	32	0	0.00456751	32	0	0	32	1	18.0416	1	1
33	33	33	0	0.00471025	33	0	0	33	1	18.619	1	1
34	34	34	0	0.00485298	34	0	0	34	1	19.1964	1	1
35	35	35	0	0.00499572	35	0	0	35	1	19.7737	1	1
36	36	36	0	0.00513845	36	0	0	36	1	20.3511	1	1
37	37	37	0	0.00528119	37	0	0	37	1	20.9284	1	1
38	38	38	0	0.00542392	38	0	0	38	1	21.5058	1	1
39	39	39	0	0.00556666	39	0	0	39	1	22.0832	1	1
40	40	40	0	0.00570939	40	0	0	40	1	22.6605	1	1
41	41	41	0	0.00585213	41	0	0	41	1	23.2379	1	1
42	42	42	0	0.00599486	42	0	0	42	1	23.8153	1	1
43	43	43	0	0.0061376	43	0	0	43	1	24.3926	1	1
44	44	44	0	0.00628033	44	0	0	44	1	24.97	1	1
45	45	45	0	0.00642307	45	0	0	45	1	25.5473	1	1
46	46	46	0	0.0065658	46	0	0	46	1	26.1247	1	1
47	47	47	0	0.00670854	47	0	0	47	1	26.7021	1	1
48	48	48	0	0.00685127	48	0	0	48	1	27.2794	1	1
49	49	49	0	0.00699401	49	0	0	49	1	27.8568	1	1
50	50	50	0	0.00713674	50	0	0	50	1	28.4341	1	1
51	51	51	0	0.00727947	51	0	0	51	1	29.0115	1	1
52	52	52	0	0.00742221	52	0	0	52	1	29.5889	1	1
53	53	53	0	0.00756494	53	0	0	53	1	30.1662	1	1
54	54	54	0	0.00770768	54	0	0	54	1	30.7436	1	1
55	55	55	0	0.00785041	55	0	0	55	1	31.3209	1	1
56	56	56	0	0.00799315	56	0	0	56	1	31.8983	1	1
57	57	57	0	0.00813588	57	0	0	57	1	32.4756	1	1
58	58	58	0	0.00827862	58	0	0	58	1	33.053	1	1
59	59	59	0	0.00842135	59	0	0	59	1	33.6303	1	1
60	60	60	0	0.00856409	60	0	0	60	1	34.2077	1	1
61	61	61	0	0.00870682	61	0	0	61	1	34.7851	1	1
62	62	62	0	0.00884956	62	0	0	62	1	35.3624	1	1
63	63	63	0	0.00899229	63	0	0	63	1	35.9398	1	1
64	64	64	0	0.00913503	64	0	0	64	1	36.5171	1	1
65	65	65	0	0.00927776	65	0	0	65	1	37.0945	1	1
66	66	66	0	0.0094205	66	0	0	66	1	37.6718	1	1
67	67	67	0	0.00956323	67	0	0	67	1	38.2492	1	1
68	68	68	0	0.00970597	68	0	0	68	1	38.8265	1	1
69	69	69	0	0.0098487	69	0	0	69	1	39.4039	1	1
70	70	70	0	0.00999144	70	0	0	70	1	39.9812	1	1
71	71	71	0	0.0101342	71	0	0	71	1	40.5586	1	1
72	72	72	0	0.0102769	72	0	0	72	1	41.136	1	1
73	73	73	0	0.0104196	73	0	0	73	1	41.7133	1	1
74	74	74	0	0.0105624	74	0	0	74	1	42.2907	1	1
75	75	75	0	0.0107051	75	0	0	75	1	42.868	1	1
76	76	76	0	0.0108478	76	0	0	76	1	43.4454	1	1
77	77	77	0	0.0109906	77	0	0	77	1	44.0227	1	1
78	78	78	0	0.0111333	78	0	0	78	1	44.6001	1	1
79	79	79	0	0.011276	79	0	0	79	1	45.1774	1	1
80	80	80	0	0.0114188	80	0	0	80	1	45.7548	1	1
81	81	81	0	0.0115615	81	0	0	81	1	46.3321	1	1
82	82	82	0	0.0117043	82	0	0	82	1	46.9095	1	1
83	83	83	0	0.011847	83	0	0	83	1	47.4868	1	1
84	84	84	0	0.0119897	84	0	0	84	1	48.0642	1	1
85	85	85	0	0.0121325	85	0	0	85	1	48.6415	1	1
86	86	86	0	0.0122752	86	0	0	86	1	49.2189	1	1
87	87	87	0	0.0124179	87	0	0	87	1	49.7963	1	1
88	88	88	0	0.0125607	88	0	0	88	1	50.3736	1	1
89	89	89	0	0.0127034	89	0	0	89	1	50.951	1	1
90	90	90	0	0.0128461	90	0	0	90	1	51.5283	1	1
91	91	91	0	0.0129889	91	0	0	91	1	52.1057	1	1
92	92	92	0	0.0131316	92	0	0	92	1	52.683	1	1
93	93	93	0	0.0132743	93	0	0	93	1	53.2604	1	1
94	94	94	0	0.0134171	94	0	0	94	1	53.8377	1	1
95	95	95	0	0.0135598	95	0	0	95	1	54.4151	1	1
96	96	96	0	0.0137025	96	0	0	96	1	54.9924	1	1
97	97	97	0	0.0138453	97	0	0	97	1	55.5698	1	1
98	98	98	0	0.013988	98	0	0	98	1	56.1471	1	1
99	99	99	0	0.0141307	99	0	0	99	1	56.7245	1	1
100	100	100	0	0.0142735	100	0	0	100	1	57.3018	1	1
101	101	101	0	0.0144162	101	0	0	101	1	57.8792	1	1
102	102	102	0	0.0145589	102	0	0	102	1	58.4565	1	1
103	103	103	0	0.0147017	103	0	0	103	1	59.0339	1	1
104	104	104	0	0.0148444	104	0	0	104	1	59.6112	1	1
105	105	105	0	0.0149872	105	0	0	105	1	60.1886	1	1
106	106	106	0	0.0151299	106	0	0	106	1	60.7659	1	1
107	107	107	0	0.0152726	107	0	0	107	1	61.3433	1	1
108	108	108	0	0.0154154	108	0	0	108	1	61.9207	1	1
109	109	109	0	0.0155581	109	0	0	109	1	62.498	1	1
110	110	110	0	0.0157008	110	0	0	110	1	63.0754	1	1
111	111	111	0	0.0158436	111	0	0	111	1	63.6527	1	1
112	112	112	0	0.0159863	112	0	0	112	1	64.2301	1	1
113	113	113	0	0.016129	113	0	0	113	1	64.8074	1	1
114	114	114	0	0.0162718	114	0	0	114	1	65.3848	1	1
115	115	115	0	0.0164145	115	0	0	115	1	65.9621	1	1
116	116	116	0	0.0165572	116	0	0	116	1	66.5395	1	1
117	117	117	0	0.0167	117	0	0	117	1	67.1168	1	1
118	118	118	0	0.0168427	118	0	0	118	1	67.6942	1	1
119	119	119	0	0.0169854	119	0	0	119	1	68.2715	1	1
120	120	120	0	0.0171282	120	0	0	120	1	68.8489	1	1
121	121	121	0	0.0172709	121	0	0	121	1	69.4262	1	1
122	122	122	0	0.0174136	122	0	0	122	1	70.0036	1	1
123	123	123	0	0.0175564	123	0	0	123	1	70.5809	1	1
124	124	124	0	0.0176991	124	0	0	124	1	71.1583	1	1
125	125	125	0	0.0178418	125	0	0	125	1	71.7356	1	1
126	126	126	0	0.0179846	126	0	0	126	1	72.313	1	1
127	127	127	0	0.0181273	127	0	0	127	1	72.8903	1	1
128	128	128	0	0.0182701	128	0	0	128	1	73.4677	1	1
129	129	129	0	0.0184128	129	0	0	129	1	74.045	1	1
130	130	130	0	0.0185555	130	0	0	130	1	74.6224	1	1
131	131	131	0	0.0186983	131	0	0	131	1	75.1997	1	1
132	132	132	0	0.018841	132	0	0	132	1	75.7771	1	1
133	133	133	0	0.0189837	133	0	0	133	1	76.3544	1	1
134	134	134	0	0.0191265	134	0	0	134	1	76.9318	1	1
135	135	135	0	0.0192692	135	0	0	135	1	77.5091	1	1
136	136	136	0	0.0194119	136	0	0	136	1	78.0865	1	1
137	137	137	0	0.0195547	137	0	0	137	1	78.6638	1	1
138	138	138	0	0.0196974	138	0	0	138	1	79.2412	1	1
139	139	139	0	0.0198401	139	0	0	139	1	79.8185	1	1
140	140	140	0	0.0199829	140	0	0	140	1	80.3959	1	1
141	141	141	0	0.0201256	141	0	0	141	1	80.9732	1	1
142	142	142	0	0.0202683	142	0	0	142	1	81.5506	1	1
143	143	143	0	0.0204111	143	0	0	143	1	82.128	1	1
144	144	144	0	0.0205538	144	0	0	144	1	82.7053	1	1
145	145	145	0	0.0206965	145	0	0	145	1	83.2827	1	1
146	146	146	0	0.0208393	146	0	0	146	1	83.86	1	1
147	147	147	0	0.020982	147	0	0	147	1	84.4374	1	1
148	148	148	0	0.0211248	148	0	0	148	1	85.0147	1	1
149	149	149	0	0.0212675	149	0	0	149	1	85.5921	1	1
150	150	150	0	0.0214102	150	0	0	150	1	86.1694	1	1
151	151	151	0	0.021553	151	0	0	151	1	86.7468	1	1
152	152	152	0	0.0216957	152	0	0	152	1	87.3241	1	1
153	153	153	0	0.0218384	153	0	0	153	1	87.9015	1	1
154	154	154	0	0.0219812	154	0	0	154	1	88.4788	1	1
155	155	155	0	0.0221239	155	0	0	155	1	89.0562	1	1
156	156	156	0	0.0222666	156	0	0	156	1	89.6335	1	1
157	157	157	0	0.0224094	157	0	0	157	1	90.2109	1	1
158	158	158	0	0.0225521	158	0	0	158	1	90.7882	1	1
159	159	159	0	0.0226948	159	0	0	159	1	91.3656	1	1
160	160	160	0	0.0228376	160	0	0	160	1	91.9429	1	1
161	161	161	0	0.0229803	161	0	0	161	1	92.5203	1	1
162	162	162	0	0.023123	162	0	0	162	1	93.0976	1	1
163	163	163	0	0.0232658	163	0	0	163	1	93.675	1	1
164	164	164	0	0.0234085	164	0	0	164	1	94.2523	1	1
165	165	166	1	0.0235512	165	0	0	165	1	94.8297	1	1
166	166	167	1	0.023694	166	0	0	166	1	95.407	1	1
167	167	169	2	0.0238367	167	0	0	166	1.00602	96.2705	1	2
168	168	170	2	0.0239794	168	0	0	167	1.00599	96.8479	1	2
169	169	171	2	0.0241222	169	0	0	168	1.00595	97.4247	1	2
170	170	172	2	0.0242649	170	0	0	169	1.00592	98.0021	1	2
171	171	173	2	0.0244077	171	0	0	170	1.00588	98.5795	1	2
172	172	174	2	0.0245504	172	0	0	171	1.00585	99.1569	1	2
173	173	175	2	0.0246931	173	0	0	172	1.00581	99.7342	1	2
174	174	176	2	0.0248359	174	0	0	173	1.00578	100.312	1	2
175	175	177	2	0.0249786	175	0	0	174	1.00575	100.889	1	2
176	176	178	2	0.0251213	176	0	0	175	1.00571	101.466	1	2
177	177	179	2	0.0252641	177	0	0	175	1.01143	101.952	1	2
178	178	180	2	0.0254068	178	0	0	176	1.01136	102.534	1	2
179	179	181	2	0.0255495	179	0	0	177	1.0113	103.109	1	2
180	180	182	2	0.0256923	180	0	0	178	1.01124	103.684	1	2
181	181	183	2	0.025835	181	0	0	179	1.01117	104.266	1	2
182	182	184	2	0.0259777	182	0	0	180	1.01111	104.841	1	2
183	183	185	2	0.0261205	183	0	0	181	1.01105	105.416	1	2
184	184	186	2	0.0262632	184	0	0	182	1.01099	105.991	1	2
185	185	187	2	0.0264059	185	0	0	183	1.01093	106.567	1	2
186	186	188	2	0.0265487	186	0	0	184	1.01087	107.142	1	2
187	187	189	2	0.0266914	187	0	0	185	1.01081	107.717	1	2
188	188	190	2	0.0268341	188	0	0	186	1.01075	108.292	1	2
189	189	191	2	0.0269769	189	0	0	187	1.0107	108.867	1	2
190	190	192	2	0.0271196	190	0	0	188	1.01064	109.442	1	2
191	191	193	2	0.0272623	191	0	0	189	1.01058	110.017	1	2
192	192	194	2	0.0274051	192	0	0	190	1.01053	110.592	1	2
193	193	195	2	0.0275478	193	0	0	191	1.01047	111.168	1	2
194	194	196	2	0.0276906	194	0	0	193	1.00518	111.858	1	2
195	195	197	2	0.0278333	195	0	0	194	1.00515	112.435	1	2
196	196	198	2	0.027976	196	0	0	195	1.00513	113.012	1	2
